Sequence Name;OTU
Bahamas01__000818695;1
Bahamas01__001732627;2
Jamaica_02__001732627;2
Bahamas03__000302588;3
TurksCaicos_13__000302588;3
Bahamas11__000047242;4
BVI04__002990761;5
BVI09__002677545;6
FTP62_2106_21963_9112;7
FTP62_1108_12975_26621;7
FTP62_1107_21486_26394;8
Jamaica_01__000711849;9
Jamaica_02__000711849;9
Jamaica_07__000711849;9
Jamaica_06__000889453;10
Jamaica_08__000889453;10
Jamaica_09__000889453;10
Jamaica_07__000114694;11
Jamaica_09__001948338;12
PKN269_ASV10157_5;13
PKN343_ASV6562_21;13
PKN345_ASV7803_14;13
TurksCaicos_03__000812013;14
TurksCaicos_16__001395425;15
TurksCaicos_21__001395425;15
